year,site,mean,lowerCI,upperCI,Note
2008,Arisaig,13.8,12.3,15.6,From Comeau master
2008,Caraquet,13.3,12.1,14.4,From Comeau master
2008,Covehead,14.5,13.4,15.6,From Comeau master
2008,Maisonnette,13.4,12.1,14.7,From Comeau master
2008,Neguac,14.1,13.2,14.9,From Comeau master
2008,Shediac,14,,,No lobsters <40 mm in Shediac in 2008.
2009,Alberton,15.1,14.3,15.9,From Comeau master
2009,Arisaig,14.6,13.1,16.2,From Comeau master
2009,Covehead,14.5,13.3,15.7,From Comeau master
2009,Fortune,14.4,13,15.7,From Comeau master
2009,Murray Harbour,14.1,12.7,15.7,From Comeau master
2009,Nine Mile Creek,12,,,One 11 mm YOY in 2009. 
2009,Skinner's Pond,14.1,12.6,15.6,From Comeau master
2010,Alberton,13.6,12.7,14.5,From Comeau master
2010,Arisaig,14.2,12.7,15.8,From Comeau master
2010,Covehead,15.1,13.9,16.3,From Comeau master
2010,Fortune,15.3,14.4,16.3,From Comeau master
2010,Murray Harbour,14.4,13.1,15.7,From Comeau master
2010,Skinner's Pond,15,13.7,16.4,From Comeau master
2011,Alberton,14.1,13.3,14.9,From Comeau master
2011,Arisaig,14.4,13,15.9,From Comeau master
2011,Covehead,14.1,13.3,15,From Comeau master
2011,Fortune,14.2,13,15.3,From Comeau master
2011,Murray Harbour,14.1,12.6,15.7,From Comeau master
2011,Skinner's Pond,14.2,12.9,15.4,From Comeau master
2012,Alberton,14,13.3,14.7,From Comeau master
2012,Arisaig,14.2,12.7,15.7,From Comeau master
2012,Covehead,14.1,13.2,15,From Comeau master
2012,Fortune,15.2,14.2,16.2,From Comeau master
2012,Murray Harbour,14.9,13.5,16.2,From Comeau master
2012,Skinner's Pond,15.1,14.1,16.3,From Comeau master
2013,Alberton,13.9,13.2,14.5,From Comeau master
2013,Arisaig,14,,,Blank in comeau master. This is value used in calculations that year. 
2013,Covehead,14.5,13.5,15.4,From Comeau master
2013,Fortune,14.9,14.1,15.8,From Comeau master
2013,Skinner's Pond,15,,,From Comeau master
2014,Alberton,12.6,12.2,13.1,From Comeau master
2014,Covehead,12.6,12.2,13.1,From Comeau master
2014,Egmont Bay,12.6,12.2,13.1,From Comeau master
2014,Fortune,12.6,12.2,13.1,From Comeau master
2014,Murray Harbour,12.6,12.2,13.1,From Comeau master
2014,Nine Mile Creek,12,,,One 5.5  mm YOY in 2014. 
2014,Skinner's Pond,12.6,12.2,13.1,From Comeau master
2015,Alberton,13.91,11.6,17.3,From Comeau master
2015,Covehead,13.91,11.6,17.3,From Comeau master
2015,Egmont Bay,13.91,11.6,17.3,From Comeau master
2015,Fortune,13.91,11.6,17.3,From Comeau master
2015,Murray Harbour,13.91,11.6,17.3,From Comeau master
2015,Skinner's Pond,13.91,11.6,17.3,From Comeau master
2016,Alberton,13.4,9.6,15.2,From Comeau master
2016,Covehead,13.4,9.6,15.2,From Comeau master
2016,Egmont Bay,13.4,9.6,15.2,From Comeau master
2016,Fortune,13.4,9.6,15.2,From Comeau master
2016,Murray Harbour,13.4,9.6,15.2,From Comeau master
2016,Skinner's Pond,13.4,9.6,15.2,From Comeau master
2017,Alberton,13.7,,,From Comeau master
2017,Covehead,13.9,,,From Comeau master
2017,Egmont Bay,9.2,,,From Comeau master
2017,Fortune,12.2,,,From Comeau master
2017,Murray Harbour,13.8,,,From Comeau master
2017,Skinner's Pond,13.7,,,From Comeau master
2018,Alberton,12,,,From Comeau master
2018,Covehead,12.4,,,From Comeau master
2018,Egmont Bay,11.1,,,From Comeau master
2018,Fortune,9.3,,,From Comeau master
2018,Murray Harbour,13.3,,,From Comeau master
2018,Skinner's Pond,13.5,,,From Comeau master
2019,Alberton,12,,,Based on visual examination of histogram
2019,Covehead,12,,,Based on visual examination of histogram
2019,Egmont Bay,13,,,Based on visual examination of histogram
2019,Fortune,12.5,,,Based on visual examination of histogram
2019,Fortune2,12,,,Based on visual examination of histogram
2019,Murray Harbour,13.5,,,Based on visual examination of histogram
2019,Skinner's Pond,12,,,Based on visual examination of histogram
2020,Alberton,11.5,,,Based on visual examination of histogram
2020,Cape Egmont,12,,,Based on visual examination of histogram
2020,Fortune,12.5,,,Based on visual examination of histogram
2020,Murray Harbour,12.5,,,Based on visual examination of histogram
2020,Skinner's Pond,13,,,Based on visual examination of histogram
2020,Covehead,12,,,Based on visual examination of histogram
