"site","année","moyenne","int.conf.2.5%","int.conf.97.5%"
"Alberton",2009,0.829,0.471,1.459
"Alberton",2010,2.061,1.45,2.931
"Alberton",2011,2.274,1.655,3.125
"Alberton",2012,2.843,2.068,3.907
"Alberton",2013,5.461,4.341,6.869
"Alberton",2014,8.65,6.609,11.323
"Alberton",2015,9.201,7.41,11.425
"Alberton",2016,3.411,2.176,5.348
"Alberton",2017,11.909,10.364,13.684
"Alberton",2018,11.304,9.726,13.138
"Alberton",2019,8.498,7.209,10.017
"Alberton",2020,9.276,7.925,10.857
"Arisaig",2008,0,0,0
"Arisaig",2009,0.215,0.069,0.668
"Arisaig",2010,0.12,0.03,0.479
"Arisaig",2011,0.128,0.032,0.513
"Arisaig",2012,0.06,0.008,0.425
"Arisaig",2013,1.234,0.813,1.875
"Bedeque",2008,0,0,0
"Cape Egmont",2014,0.18,0.058,0.557
"Cape Egmont",2015,0.12,0.03,0.479
"Cape Egmont",2016,0,0,0
"Cape Egmont",2017,0.12,0.03,0.479
"Cape Egmont",2018,0.287,0.108,0.765
"Cape Egmont",2019,1.017,0.632,1.637
"Cape Egmont",2020,0.299,0.125,0.719
"Caraquet",2008,0,0,0
"Covehead",2008,0.371,0.167,0.827
"Covehead",2009,0.539,0.28,1.035
"Covehead",2010,0.532,0.266,1.064
"Covehead",2011,1.197,0.772,1.855
"Covehead",2012,0.931,0.551,1.572
"Covehead",2013,2.128,1.505,3.009
"Covehead",2014,3.2,2.356,4.346
"Covehead",2015,1.87,1.264,2.768
"Covehead",2016,1.162,0.643,2.098
"Covehead",2017,3.453,2.617,4.555
"Covehead",2018,13.741,11.959,15.789
"Covehead",2019,2.285,1.578,3.309
"Covehead",2020,2.167,1.556,3.018
"Fortune",2009,0.186,0.06,0.576
"Fortune",2010,1.919,1.35,2.729
"Fortune",2011,0.479,0.239,0.957
"Fortune",2012,1.981,1.401,2.801
"Fortune",2013,3.719,2.875,4.81
"Fortune",2014,1.114,0.702,1.769
"Fortune",2015,0.239,0.09,0.638
"Fortune",2016,0.359,0.161,0.799
"Fortune",2017,0.975,0.622,1.528
"Fortune",2018,0.923,0.582,1.465
"Fortune",2019,0.962,0.58,1.595
"Fortune",2020,1.034,0.659,1.621
"Murray Harbour",2009,0,0,0
"Murray Harbour",2010,1.017,0.632,1.637
"Murray Harbour",2011,0,0,0
"Murray Harbour",2012,0.653,0.245,1.739
"Murray Harbour",2014,0.321,0.133,0.77
"Murray Harbour",2015,0,0,0
"Murray Harbour",2016,0,0,0
"Murray Harbour",2017,1.114,0.702,1.769
"Murray Harbour",2018,0.898,0.541,1.489
"Murray Harbour",2019,0.691,0.287,1.659
"Murray Harbour",2020,1.238,0.799,1.919
"Neguac",2008,0.539,0.28,1.035
"Nine Mile Creek",2009,0.06,0.008,0.425
"Nine Mile Creek",2010,0,0,0
"Nine Mile Creek",2011,0,0,0
"Nine Mile Creek",2012,0,0,0
"Nine Mile Creek",2013,0,0,0
"Nine Mile Creek",2014,0.06,0.008,0.425
"Nine Mile Creek",2015,0,0,0
"Nine Mile Creek",2016,0,0,0
"Nine Mile Creek",2017,0,0,0
"Nine Mile Creek",2018,0,0,0
"Nine Mile Creek",2019,0,0,0
"Nine Mile Creek",2020,0,0,0
"Shediac",2008,0,0,0
"Skinner's Pond",2009,0.144,0.036,0.574
"Skinner's Pond",2010,0.419,0.2,0.879
"Skinner's Pond",2011,0.513,0.257,1.026
"Skinner's Pond",2012,0.641,0.345,1.192
"Skinner's Pond",2013,8.777,7.401,10.41
"Skinner's Pond",2014,8.378,7.099,9.888
"Skinner's Pond",2015,2.813,2.113,3.744
"Skinner's Pond",2016,2.362,1.596,3.496
"Skinner's Pond",2017,10.054,8.643,11.695
"Skinner's Pond",2018,21.352,19.177,23.773
"Skinner's Pond",2019,9.554,8.137,11.218
"Skinner's Pond",2020,4.488,3.579,5.628
"Wallace",2017,0,0,0
"Wallace",2018,0,0,0
"Wallace",2019,0,0,0
